NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;RR;QRR
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-03-01;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-03-02;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-03-03;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-03-04;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-03-05;3.5;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-03-06;5.5;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-03-07;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-03-08;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-03-09;8.5;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-03-10;8.5;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-03-11;4.5;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-03-12;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-03-13;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-03-14;5.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-03-15;4.2;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-03-16;2.5;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-03-17;2.5;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-03-18;2.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-03-19;2.1;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-03-20;1.2;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-03-21;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-03-22;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-03-23;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-03-24;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-03-25;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-03-26;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-03-27;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-03-28;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-03-29;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-03-30;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-03-31;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-04-01;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-04-02;0.0;1.0
49223001;MURS-ERIGNE AGGLOMERATION;47.395;-0.553333;38;1934-04-03;2.0;1.0
