id;nom;posteOuvert;typePoste;lon;lat;alt;postePublic;departement;ville
33042001;BELIN-BELIET;True;2;-0.7905;44.4935;36;True;33;Gironde (Bordeaux)
33042005;BELIN BELIET;True;1;-0.882;44.448;45;True;33;Gironde (Bordeaux)
33063001;BORDEAUX-PAULIN;True;2;-0.588667;44.849667;10;True;33;Gironde (Bordeaux)
33080001;CADAUJAC-INRAE;True;3;-0.5605;44.7525;25;True;33;Gironde (Bordeaux)
33095001;CAPTIEUX;True;2;-0.2605;44.295167;96;True;33;Gironde (Bordeaux)
33116001;CAZATS;True;1;-0.186167;44.463167;114;True;33;Gironde (Bordeaux)
33122003;PIERROTON-INRAE;True;3;-0.776667;44.738333;60;True;33;Gironde (Bordeaux)
33195001;GRIGNOLS;True;2;-0.040333;44.385667;146;True;33;Gironde (Bordeaux)
33214002;LACANAU;True;2;-1.138167;45.001167;16;True;33;Gironde (Bordeaux)
33236002;CAP-FERRET;True;2;-1.251667;44.6305;8;True;33;Gironde (Bordeaux)
33281001;BORDEAUX-MERIGNAC;True;0;-0.691333;44.830667;47;True;33;Gironde (Bordeaux)
33314005;PAUILLAC;True;1;-0.782833;45.214333;26;True;33;Gironde (Bordeaux)
33319002;PESSAC-SUR-DORDOGNE-SPC;True;5;0.077167;44.819167;18;True;33;Gironde (Bordeaux)
33394002;ST EMILION;True;1;-0.188;44.917667;38;True;33;Gironde (Bordeaux)
33415001;ST GERVAIS;True;1;-0.472667;45.027167;42;True;33;Gironde (Bordeaux)
33482001;ST SULPICE DE POMMIERS;True;1;-0.12;44.683833;82;True;33;Gironde (Bordeaux)
33484001;ST-SYMPHORIEN;True;2;-0.489;44.426833;54;True;33;Gironde (Bordeaux)
33494001;SALAUNES;True;2;-0.828667;44.935833;50;True;33;Gironde (Bordeaux)
33504001;SAUTERNES;True;2;-0.326833;44.544333;65;True;33;Gironde (Bordeaux)
33529001;CAZAUX;True;0;-1.132;44.534667;23;True;33;Gironde (Bordeaux)
33540001;VENDAYS-MONTALIVE;True;1;-1.119167;45.378667;6;True;33;Gironde (Bordeaux)
33550001;VILLENAVE D'ORNON-INRAE;True;3;-0.576667;44.79;25;True;33;Gironde (Bordeaux)
35002001;AMANLIS-SPC;True;5;-1.4735;48.0095;42;True;35;Ille-et-Vilaine (Rennes)
35005001;ARBRISSEL;True;1;-1.297333;47.927333;75;True;35;Ille-et-Vilaine (Rennes)
35012003;BAIN-DE-BRETAGNE-SPC;True;5;-1.628333;47.86;105;True;35;Ille-et-Vilaine (Rennes)
35026001;BLERUAIS;True;2;-2.124167;48.1115;84;True;35;Ille-et-Vilaine (Rennes)
35044001;BROUALAN;True;2;-1.640833;48.485667;99;True;35;Ille-et-Vilaine (Rennes)
35057003;LA-CHAPELLE-BOUEXIC;True;1;-1.940833;47.9215;42;True;35;Ille-et-Vilaine (Rennes)
35067001;CHASNE-SUR-ILLET-SPC;True;5;-1.574333;48.246667;57;True;35;Ille-et-Vilaine (Rennes)
35110003;FEINS  SA;True;1;-1.596833;48.326833;87;True;35;Ille-et-Vilaine (Rennes)
35115001;FOUGERES;True;2;-1.212667;48.337167;74;True;35;Ille-et-Vilaine (Rennes)
35133001;IFFENDIC-SPC;True;5;-1.993667;48.17;43;True;35;Ille-et-Vilaine (Rennes)
